score,content
5,cukup puas
2,"beli paket data nyangkut, sudah kirim email belum ada respon,sdh 1x24 jam uang tidak kembali paket tidak dapt"
5,"Saya suka Livin transaksi lebih mudah jelas tanpa ribet, semoga kedepannya Livin lebih baik lagi dan sukses"
5,selalu di gunakan
5,pr ny cm transaksi jam 22:00 - smpe jam 00:00 tdk bsa transaksi
1,sekarang kebanyakan biaya tambahan di setiap transaksinya
5,semua urusan jadi mudah
5,sangat dan cepat
4,Bagus
1,"idiot banget ini aplikasi, ngirim kode otp aja sampe ber jam2 gk masuk... mana aplikasinya sering loading pula, pdahal di tes nonton YT 1080p aja lancar jaya jaringannya..."
5,paling enaak pakai livin
1,"VA bermasalah Mulu, mau transfer pun g bisa"" ntah apapun masalahnya"
5,bagus mantab
5,aplikasinya sangat membantu
5,baik
5,aplikasi yang sangat berguna
5,sangat membantu
5,"Livin' by Mandiri, sangat praktis dan sangat membantu dalam transaksi elektronik, semoga Bank Mandiri Berjaya selamanya, Aamiin"
5,sangat sangat membantu👍
5,bintang 5 biar direspon setiap ndakuin minta kartu ATM fisik dikirim ke rumah selalu ga nyampe tapi distatusnya diterima oleh saudara serumah pdhl dirumah gada saudara dan gada yg Nerima gmna ini saya pengen punya kartu ATM nya
4,saat ini livin tidak bisa dibuka
5,ok
5,terbaik
5,sangat membantu
5,sangat berguna dan membantu saya
4,"kenapa aplikasi punya saya tidak bisa dibuka, padahal jaringan stabil. Pakai wifi pun tetap tidak bisa"
5,aplikasinya sangat bagus.
5,bagus
5,bagus sekali dan sangat membantu
4,bagus
5,sangat membantu saya dalam kelancaran transaksi keuangan
5,"terimakasih Livin mandiri saya sangat puas ,,semoga sukses selalu,,"
5,baik
5,"sangat mudah dan membantu sekali dalam bertransaksi tidak ribet, mantab pokoknya Livin by Mandori"
5,good job..
5,bagus baik slama ini tidak ada kendala 🙂
1,ribet..mau bayar aja ribet bgt..
5,sangat membantu transaksi jual beli usaha saya
5,oke
4,ijin bertanya kenapa livinku gak bisa kebuka ya ?
5,bagus berguna
5,memuaskan
5,mantap
5,living mandiri yang terbaik. keamanan transaksi no 1
5,sangat penting dan berguna
5,mudah penggunaan M-banking nya
5,Memudahkan transaksi
5,𝔸𝕡𝕡𝕜 𝕄𝕒𝕟𝕥𝕒𝕡
4,memudahkan pembayaran para nasabah
5,Terimakasi Livin sudah membantu
5,setelah habis update tidak bisa di buka aplikasinya.
5,ok
5,saya suka pake livin mandiri walaupun kadang harus apdet ulang lagi. urusan lebih mudah asal ada saldonya 😅
4,Alhamdulillah baik lancar cuma kdg suka eror aja mgkn jaringan atau dr operator livinnya..
5,baik
4,semoga nanti bisa tarik nol persen
5,sementara ini pake livin'by mandiri sangat gampang dan mudah trimakasih livin
5,"Selama pemakaian 3 tahun ini, alhamdulilah tidak ada kendala apapun"
5,"mntap tidak pernah ada kendala,TPI tolong pjaknya jangan mahal²"
4,Alhamdulillaah．lumayan bagus pelayananny.
5,makasih mandiri yg terbaik
5,🔥🔥🔥🔥
5,oke
5,mantul
5,ok
5,bagus
5,oke lah
5,setelah di update tidak bisa dibuka
5,lewat Livin bisa buat byar2 no ribet..no kemana2
5,sangat indah
5,bagus
5,pke Livin semua jadi mudah
5,mantap mandiri
5,cepat terpercaya
5,oke
5,"puas dgn layanan livin, smua jadi lebih mudah."
5,bagus sekali dan luar biasa tdk ribet
5,"gk perlu pusing, tinggal klik"
5,transaksi cepat mudah
5,ok
5,aplikasi bagus dapat memudahkan transaksi
5,"aplikasi mantap transaksi lancar banget, semua kebutuhan transaksi finansial terpenuhi"
5,mantap puas sekali pakai livin ini
5,sangat membatu
5,cepat.responsif
5,Bagus
5,Bagus
5,sangat membantu
5,baik
5,lebih mudah untuk bertransaksi
2,sekarang transaksi pembayaran apapun atau topup ewalet di kenakan biyaya awalnya seribu jadi 2500. percuma ada biaya bulanan kalo yang lainnya kena potongan . kalo untuk seperti saya kurang menguntungkan lebih baik ganti ke yang lain
5,Alus
4,"masuk nya lama, liat data transaksi ribet, data uang masuk tidak ada, selebihnya udah lumayan mudah"
5,nyaman dan cepat
5,mantap
5,sangat membantu aktivitas perbankan🥰
5,mantap mempermudah transaksi sukses slalu buat by mandiri
5,skrg dah lebih bagus
5,"Aplikasinya mudah digunakan, fiturnya bagus"
5,sukses selalu
4,Dengan Livin' by Mandiri semua transaksi jadi lebih mudah dan lebih efektif
5,intinya aman dan lancar
5,ok
5,sangat memudahkan penggunanya
5,bagus
2,ok deh
5,mntap
5,mantup
5,sinyal kurang kuat
5,sangat mempermudah buat transaksi
5,fine good
5,memudahkan dan SGT nyaman bertransaksi
